"author_id","age","interv_id1","interv_id2","N1","n1","N2","n2"
1,"65-85 years",1,2,1155,41,13613,243
2,"50+ years",1,2,420,47,478,116
3,"50+ years",1,2,158993,17,236693,68
4,"50+ years",1,2,79456,297,180790,474
5,"60+ years",1,2,57604,3089,48706,4059
6,"50+ years",1,2,466,6,1196,22
7,"65+ years",1,2,100751,654,83998,644
8,"60+ years",1,2,263,20,2949,375
9,"60+ years",1,2,215,20,2109,327
10,"65+ years",1,2,45285,264,45285,415
11,"55+ years",1,2,4105,463,7119,1174
12,"50+ years",1,2,1614377,5977,1793698,10827
13,"50+ years",1,2,6374,95,8500,163
14,"50+ years",1,2,273,10,2542,243
15,"55+ years",1,2,116251,122,845906,1918
